"Category","Name","Description","Value ","Default Value"
Without category,show_sketch_dims_in_feature,Sets the default display state of internal sketch dimensions in the feature definition environment.,"yes, no",no
Casting & Mold Design,shrinkage_value_display,Determines how dimensions are displayed when shrinkage is applied to a model with Pro/MOLDESIGN. Percent_shrink - Dimensions appear with the shrinkage percent.,"final_value, percent_shrink",percent_shrink
Assembly,shrinkwrap_alert,Displays the Shrinkwrap alert the first time the quality level is increased.,"yes, no",yes
Creo Simulate,sim_accurate_asm_links,Forces assembly link calculations to take into account the separation of linked shells.,"yes, no",no
Creo Simulate,sim_additive_mass,Treats Mass Idealizations as additive if they are applied to the same entity and suppresses Mass precedence rules.,"yes, no",no
Creo Simulate,sim_agem_delete_mesh_points,Yes - Deletes the points inserted during an AutoGEM session when deleting mesh elements. No - Retains the points inserted during an AutoGEM session when deleting mesh elements.,"yes, no",yes
Creo Simulate,sim_agem_display_element_colors,Yes - Color elements according to their shapes. No - Color all solid elements and shell elements the same color.,"yes, no",yes
Creo Simulate,sim_agem_edge_by_crv_default,Sets the default value for the ratio of Edge Length / Radius of curvature.,,2
Creo Simulate,sim_agem_edge_crv,Sets the value for the target ratio of Edge Length / Radius of curvature  for automatic creation of a global AutoGEM Control.,,0
Creo Simulate,sim_agem_model_thickness,"Set the value to the part thickness. This causes AutoGEM to perform more boundary refinement, and can be very useful for thinner parts.",,-1
Creo Simulate,sim_auto_map_max_angle,Sets the default maximum angle tolerance for auto-mapping of pressure load. The valid range is from 0 to 90 degrees.,,10
Creo Simulate,sim_auto_map_max_dist,Sets the default maximum distance tolerance (relative to model size) for auto-mapping of pressure load. The default value is 0.0012.,,0.0012
Creo Simulate,sim_auto_pairing_thickness,"Set the value of characteristic thickness for auto-detection of shell pairs. Using this as a threshold value, auto-detection will find surface pairs with thickness smaller than this value.",,0
Creo Simulate,sim_auto_regen_enabled,Yes - Regenerate model on entrance to Creo Simulate. No - Don't regenerate the model.,"yes, no",yes
Creo Simulate,sim_beamsection_path,Specifies the path where the Beam Sections will be stored.,,
Creo Simulate,sim_calculate_node_reaction,Enables node reaction calculations for point constraints within links. The default value is NO.,"yes, no",no
Creo Simulate,sim_check_jacobian_corners,No - Suppress Jacobian checks at corner nodes. ANSYS and Nastran checks parabolic elements Jacobian at the integration points only and FEM will fix too curved elements for the same criterion. Yes - Jacobian is checked both at integration points and corner nodes. FEM mode will fix too curved elements accordingly.,"yes, no",no
Creo Simulate,sim_contact_penetration,Specify the value of contact penetration in percentage (from 0 to 100; the default is 5).,,5
Creo Simulate,sim_contact_tolerance_factor,Modifies the convergence tolerance for contact. The specified factor will be multiplied by the default tolerance.,,1
Creo Simulate,sim_display_3d_icons,Toggles display of 3D Creo Simulate icons.,"yes, no",
Creo Simulate,sim_display_3d_icons_zi,Toggles zoom-invariant behavior of 3D Creo Simulate icons.,"yes, no",
Creo Simulate,sim_display_agem_controls,Toggles display of AutoGEM Controls.,"yes, no",
Creo Simulate,sim_display_arrow_scale,Toggles automatic arrow scaling.,"yes, no",
Creo Simulate,sim_display_arrow_tail_touching,Toggles display of Load arrows to have tails or heads touching.,"yes, no",
Creo Simulate,sim_display_beam_releases,Toggles display of Beam Release icons.,"yes, no",
Creo Simulate,sim_display_beam_sections,Toggles display of beam section icons.,"yes, no",
Creo Simulate,sim_display_beams,Toggles display of beam icons.,"yes, no",
Creo Simulate,sim_display_contacts,Toggles display of contact icons.,"yes, no",
Without category,sim_display_current_csys_triad,Toggles display of the current coordinate system triad in the lower right corner of the window.,"yes, no",
Creo Simulate,sim_display_fasteners,Toggles display of Fastener icons.,"yes, no",
Creo Simulate,sim_display_highlight_refs,Yes -  Geometrical references are highlighed when selecting a load/constraint.,"yes, no",
Creo Simulate,sim_display_in_spin,Toggles display of simulation objects in Dynamic Spin.,"yes, no",
Without category,sim_display_interfaces,Toggles display of structure connection icons.,"yes, no",
Creo Simulate,sim_display_internal_mesh_edges,"Specifies whether internal edges of mesh elements should be displayed in the wireframe mode. The default is ""No"".","yes, no",no
Creo Simulate,sim_display_load_colors,Toggles display of Load colors.,"yes, no",
Creo Simulate,sim_display_load_distribution,Toggles display of distributed load vectors over entire entity.,"yes, no",
Creo Simulate,sim_display_load_icons,Toggles display of load icons.,"yes, no",
Creo Simulate,sim_display_load_name,Yes - The load/constraint name appears in the label.,"yes, no",
Creo Simulate,sim_display_load_value,Toggles display of Load values.,"yes, no",
Creo Simulate,sim_display_loads_from_comps,Toggles display of loads and constraints defined on lower-level components of assembly.,"yes, no",
Creo Simulate,sim_display_masses,Toggles display of mass icons.,"yes, no",
Creo Simulate,sim_display_matl_assignments,Toggles display of Material Assignment icons.,"yes, no",
Creo Simulate,sim_display_measures,Toggles display of Simulation Measure icons.,"yes, no",
Creo Simulate,sim_display_mesh_and_model,Toggles display of Mesh together with Model.,"yes, no",
Creo Simulate,sim_display_mesh_control_name,Yes - The Mesh/AutoGEM control name appears in the label.,"yes, no",
Creo Simulate,sim_display_mesh_control_value,Yes - The Mesh/AutoGEM control value appears in the label.,"yes, no",
Creo Simulate,sim_display_mesh_controls,Toggles display of Mesh Controls.,"yes, no",
Creo Simulate,sim_display_mesh_entities,Toggles display of Mesh entities.,"yes, no",
Creo Simulate,sim_display_mesh_mode,"Specifies the mode of mesh display in FEM preprocessor. Values: NO_MESH, WIREFRAME, HIDDEN, NOHIDDEN, SHADING.","wireframe, no_mesh, hidden, nohidden, shading",
Creo Simulate,sim_display_mesh_quality,"Specifies the quality of mesh display in Creo Simulate. Values: FINE, MEDIUM, COARSE.","medium, fine, coarse",
Creo Simulate,sim_display_mesh_shells_thick,Toggles the display of shell thickness in Creo Simulate mesh. YES - Display shells with real thickness. NO - Display shells with zero thickness.,"yes, no",
Creo Simulate,sim_display_mesh_shrink_elems,Controls display of Mesh through a specified percentage of shrinking of its elements.,,-1
Creo Simulate,sim_display_model_type,Toggles the display of the Simulation model setup in the lower left corner of Creo Parametric screen.,"yes, no",yes
Creo Simulate,sim_display_names,Toggles display of Simulation Object names.,"yes, no",
Creo Simulate,sim_display_rigid_dof,Toggles display of Rigid Link DOF icons.,"yes, no",
Creo Simulate,sim_display_rigid_links,Toggles display of Rigid Link icons.,"yes, no",
Without category,sim_display_shell_pairs,Toggles the display of shell pairs.,"yes, no",
Creo Simulate,sim_display_shells,Toggles display of shell icons.,"yes, no",
Creo Simulate,sim_display_springs,Toggles display of spring icons.,"yes, no",
Creo Simulate,sim_display_struct_constraints,Toggles display of structure constraint icons.,"yes, no",
Creo Simulate,sim_display_struct_loads,Toggles display of structure load icons.,"yes, no",
Creo Simulate,sim_display_therm_bcs,Toggles display of Thermal Boundary Condition icons.,"yes, no",
Creo Simulate,sim_display_therm_loads,Toggles display of thermal load icons.,"yes, no",
Creo Simulate,sim_display_weighted_dof,Toggles display of Weighted Link DOF icons.,"yes, no",
Creo Simulate,sim_display_weighted_links,Toggles display of Weighted Link icons.,"yes, no",
Creo Simulate,sim_display_welds,Toggles display of Weld icons.,"yes, no",
Without category,sim_display_z_buffered,Toggles z-buffered display of Creo Simulate icons.,"yes, no",
Creo Simulate,sim_expanded_diagnostics,Yes - Creo Simulate will perform an expanded set of diagnostic checks during meshing a model or running an analysis. These include checks for interferences in an assembly and for singular geometry. No - Creo Simulate will not perform expanded checks.,"yes, no",no
Without category,sim_ext_distribution_dir,Specifies the location of external distribution files for loads.,,
Creo Simulate,sim_extend_surf_max_angle,"Controls the maximum angle between a surface to be extended during shell compression and its adjacent surfaces. If the angle is higher than specified, the adjacent surfaces is extended. The default is 30 degrees. The range is from 0 to 90 degrees.",,30
Creo Simulate,sim_fatigue_biaxiality_correct,Controls the use of biaxiality correction. The default value is YES.,"yes, no",yes
Creo Simulate,sim_fatigue_biaxiality_method,"Controls which method is used to model biaxiality: Klann-Tipton-Cordes, Hoffman-Seeger, or the most conservative (worst) of the two methods. The default value is WORST.","worst, ktc, hs",worst
Creo Simulate,sim_fatigue_confidence_level,"Specifies the percentage confidence in the predicted life result value. The default value is 90, and range is from 0.1 to 99.9",,90
Creo Simulate,sim_fatigue_external_matdata,Controls the use of external material data. The default value is NO.,"yes, no",no
Creo Simulate,sim_fatigue_hysteresis_gate,Specifies the gate applied to cycle counting as a percentage of peak load. The default value is 1 and range is from 0 to 50.,,1
Creo Simulate,sim_fatigue_infinite_life_value,Specifies the value for the lives beyond cutoff. The default value is 1e20 and range is from 1e15 to 1e30.,,100000000000000000000.000000
Creo Simulate,sim_fatigue_mean_stress,Controls the application of the mean stress correction. The default value is YES.,"yes, no",yes
Creo Simulate,sim_fatigue_mean_stress_method,"Controls which method is used to model mean stress: the Smith-Watson-Topper Approach, Morrow Correction, or the most conservative (worst) of the two methods. The default value is WORST.","worst, swt, morrow",worst
Creo Simulate,sim_fatigue_safety_margin,Specifies a factor used to determine the Life Confidence quantity. The default value is 3 and range is from 1.1 to 100.,,3
Creo Simulate,sim_fatigue_user_directory,"Specifies the directory for user files (for example, external material files). The default value is the current directory.",,
Creo Simulate,sim_fatigue_write_surf_stress,Controls writing of surface stresses to a neutral file. The default value is NO.,"yes, no",no
Creo Simulate,sim_fem_mapped_mesh,Default number of sub-divisions for mapped meshing in FEM mode. Default value is 10 and range is from 1 to 99.,,10
Creo Simulate,sim_fem_nastran_use_pshell,"Yes - use PSHELL cards, No - use PCOMP cards for laminate composite shells in NASTRAN output file.","yes, no",no
Creo Simulate,sim_html_report_prefs_file,Specifies the path to the Simulation post processor HTML report preferences file.,,
Creo Simulate,sim_hyperelastic_material_fit,"Sets the default method for calculating coefficients for hyperelastic materials. If set to ""normalized"", normalized stresses will be used. If set to ""non-normalized"", non-normalized stresses will be used.)","normalized, non-normalized",normalized
Creo Simulate,sim_icon_distribution_density,"Determines how many icons are drawn for a distribution. 1 is fewer, 10 is the highest.",,-1
Creo Simulate,sim_ignore_unpaired,"Yes - Unpaired surfaces are ignored when meshing the model, placing you directly into the AFTER COMP menu (the CONT MESH menu is skipped).","yes, no",no
Creo Simulate,sim_invoke_diagnostics_on_run,"Sets the default for the display of diagnostics during the run of an analysis in Creo Simulate Native mode. If set to prompt, the user is prompted to run  diagnostics every time he/she starts a run.","yes, no, prompt",prompt
Creo Simulate,sim_load_mech_mesh,"No - The user is prompted to load the existing Creo Simulate mesh file from the current working directory. Yes - The mesh file, if exists, is loaded automatically and the mesh is displayed.","yes, no",no
Creo Simulate,sim_loadpreview,"Sets the type of load preview: vectors, fringe or mesh.","vectors, fringe, mesh",fringe
Creo Simulate,sim_massnorm_modes,"Mass normalize modes. If set to no, the modes are normalized to a maximum displacement of 1. The default is no.","yes, no",no
Creo Simulate,sim_mat_poissons_notation,Specifies the convention used for defining Poisson's ratio for anisotropic materials as being either Tsai (Column-normalized) or Jones (Row-normalized). This option affects only the labels for Poisson's ratio on the Material data form.,"tsai, jones",tsai
Creo Simulate,sim_max_contact_iterations,Specify the maximum number of iterations for contact analysis. The default is 200.,,200
Creo Simulate,sim_max_memory_usage,"Specifies the maximum amount of memory in megabytes to be allocated during FEM meshing. If this option is not set, or set to zero, the mesher can use all available memory.",,
Creo Simulate,sim_modal_stress_superposition,"If set to yes, use the modal stress superposition method to compute the stress results. If set to no, use the superconvergent stress recovery method.","yes, no",yes
Without category,sim_nastran_use_coupmass,"Add PARAM,COUPMASS,1 in the Nastran deck file to enforce consistent mass matrix generation.","yes, no",no
Creo Simulate,sim_native_mapped_mesh,Default number of sub-divisions for mapped meshing in Native mode. Default value is 3 and range is from 1 to 99.,,3
Creo Simulate,sim_newton_debugprint,Output newton and snapthrough debug info to pas file.,"yes, no",no
Creo Simulate,sim_newton_tolerance_factor,Modifies the convergence tolerance for newton loop. The specified factor will be multiplied by the default tolerance.,,1
Creo Simulate,sim_nl_ldc,Output load deflection curve to ldc file.,"yes, no",no
Creo Simulate,sim_output_ids_for_layers,Outputs FEM mesh element IDs on each layer into XML file.,"yes, no",no
Without category,sim_output_obj_names,"Output Beam Sections names, Analyses names, Coordinate Systems names as comments.","yes, no",no
Creo Simulate,sim_perturbation_solvers,Use perturbation solvers in the calculation of local sensitivity. The default is yes.,"yes, no",yes
Creo Simulate,sim_pp_background_color,Specifies the background color of the work area for the results display. The default value is PROE.,"proe, blue, black, white",proe
Creo Simulate,sim_pp_display_beam_thickness,Sets the thickness for beams and 2D-shells display in Post Processor. Numerical values specify the thickness in pixels.,"1, 3, 2, 4, 5, actual",5
Creo Simulate,sim_pp_display_spin_center,Sets the default for the behavior of mouse spinning           the model in results.,"yes, no",yes
Creo Simulate,sim_pp_legacy_selection,Enables legacy selection of geometrical entities from Creo Simulate results postprocessor on Creo Simulate geometry.,"yes, no",no
Creo Simulate,sim_pp_legend_continuous,Determines if the legend will be continuous tone (YES) or discrete colors (NO).,"yes, no",no
Creo Simulate,sim_pp_legend_levels,The default number of legend levels (from 1 to 16; the default is 9).,,9
Creo Simulate,sim_pp_legend_show,"If set to NO, the legend is not displayed in newly created results windows by default.","yes, no",yes
Creo Simulate,sim_pp_legend_show_min_max,"If set to NO, the gray minimum and maximum values are not displayed by default in the legend.","yes, no",yes
Creo Simulate,sim_pp_legend_spectrum,"This string sets the default color legend used in the definition of a results window. This file will be looked up in the sim_pp_template_dir location, or, if this is not specified, in the current working directory.",,
Creo Simulate,sim_pp_path_absolute,"Choose Absolute (Yes) or Relative (No) path to ""rwd"" file.","yes, no",no
Creo Simulate,sim_pp_query_location,Sets the default value for the display of the WCS location in dynamic query in results.,"yes, no",no
Creo Simulate,sim_pp_show_cap_cut_outline,Enables to hide the model outline in capping/cutting surface display.,"yes, no",yes
Creo Simulate,sim_pp_struct_avg_res,Yes - averages results in Simulate Results. Applicable only for Mechanica Structure Mode Analysis types.,"yes, no",no
Creo Simulate,sim_pp_template_dir,Sets the default directory for results template files.,,
Creo Simulate,sim_pp_vector_plot_arrow_2d,To draw 2D arrows instead of 3D arrows while post-processing vector results. It is useful when system memory is not sufficient to display3D vector arrows.,"yes, no",no
Creo Simulate,sim_pp_vrml_export_format,Flags to denote VRML1.0 or VRML2.0 (default) output.,"vrml2.0, vrml1.0",vrml2.0
Creo Simulate,sim_pp_vrml_feature_edges,Flag to enable the inclusion of feature edges in the VRML file. The default value is NO.,"yes, no",no
Creo Simulate,sim_reentrant_geom_angle,Sets the default value for reentrant geometry detection in both Isolation for Exclusion AutoGEM Control and expanded diagnostics checks. The valid range is from 0 to 180 degrees. The default is 120 degrees.,,120
Creo Simulate,sim_remove_unopposed,Yes - The system ignores unopposed surfaces when meshing the model; the system also deselects the UseUnopposed option. No - the system uses the unopposed surfaces in the shell model.,"yes, no",no
Creo Simulate,sim_results_on_first_pass,Forces results post-processing after the first pass of an SPA analysis.,"yes, no",no
Without category,sim_run_num_threads,"Controls the number of CPUs that Creo Simulate Native mode will use for running the analysis. The possible values are: ALL (default), ALL_BUT_1, ALL_BUT_2, 2, 1, HALF.","all, 1, 2, all_but_1, all_but_2, half",all
Creo Simulate,sim_run_out_dir,"Specifies the directory for Creo Simulate run output storage. By default, the current directory is used.",,
Creo Simulate,sim_run_tmp_dir,"Specifies the directory for Creo Simulate run temporary storage. By default, the current directory is used.",,
Creo Simulate,sim_smooth_aspect_ratio,Sets the element aspect ratio criterion for the mesh smoothing process.,,7
Creo Simulate,sim_smooth_edge_angle,"Sets the element edge angle criterion (Quad elements only), measured in degrees, for the mesh smoothing process.",,30
Creo Simulate,sim_smooth_skew,"Sets the element skew angle criterion (Quad elements only), measured in degrees, for the mesh smoothing process.",,45
Creo Simulate,sim_smooth_taper,Sets the element taper criterion (Quad elements only) for the mesh smoothing process.,,0.5
Creo Simulate,sim_smooth_warp_angle,"Sets the element warp angle criterion (Quad elements only), measured in degrees, for the mesh smoothing process.",,10
Creo Simulate,sim_snap_tolerance_factor,Modifies the start tolerance for snapthrough. The specified factor will be multiplied by the default tolerance.,,1
Creo Simulate,sim_solver_memory_allocation,Specifies the amount of memory in megabytes reserved for solving equations and for storing element data created by the iterative solver. The default value is 128.,,512
Creo Simulate,sim_spotweld_split_mesh,"If set to YES (default), the elements that touch the end of the spot weld are created in a circle the same diameter as the weld (AutoGEM only).","yes, no",yes
Creo Simulate,sim_struct_interface_default,Sets the default for the interfaces created between the geometry in a structural model for meshing and running analysis.,"free, bonded, contact",
Creo Simulate,sim_sturm_sequence,"Run the Sturm sequence test for a modal analysis. By default, the solver automatically decides when to perform the Sturm sequence test.","never, default, always",default
Creo Simulate,sim_supercon_recovery,Sets on or off the superconvergent stress recovery algorithm.,"yes, no",yes
Creo Simulate,sim_therm_interface_default,Sets the default for the interfaces created between the geometry in a thermal model for meshing and running analysis.,"bonded, resistance, adiabatic",
Creo Simulate,sim_use_layers,Allows layers to become groups for Creo Simulate Independent mode.,"yes, no",no
Creo Simulate,sim_wf5_fastener_fix_separation,Sets the value of Fix Separation for fasteners created in Wildfire 5.0 or  earlier with Fix Separation set to Auto.,"yes, no, default",default
Creo Simulate,sim_wf5_fastener_frictionless,Sets the value of Frictionless Interface for Fasteners created in Wildfire 5.0 or earlier.,"yes, no, default",default
Assembly,simple_search_consider_select,Defines whether simple search executes query only inside selected models (if some models selected) or always in scope of entire top-level model.,"yes, no",no
Without category,simprep_column_display,"Controls display of Simplified Representations columns in Model Tree,  'Automatic'-'Current Rep' column is shown automatically when a rep is activated, 'Manual' visibility of the  column is fully controlled by user, pre-Wildfire 6 behavior.","automatic, manual",automatic
Without category,simprep_column_format,Specifies simplified representation model tree column format.,"names only, icons only, icons and names",icons and names
Without category,simprep_default_cnfg_asm,Retrieves a CSA model in a specified representation. Yes - uses Open Rep dialog. No - retrieves the Master representation. Specified Name - retrieves the model in the specified representation name if it exists or the Default representation.,,last stored
Assembly,simprep_default_model_status,Determines the default model status while defining a new simplified rep.,"master, geometry, exclude, graphics, light graphics rep",exclude
Without category,simprep_ondemand_activation,Enables retrieving on-demand the Master rep of  an activated model. When an assembly is activated  the Assembly only rep is retrieved.,"yes, no",yes
Without category,simprep_ondemand_cleanup,Determines if a model retrieved on demand  should be removed or erased.  Disabled - the model will not be removed  and will remain in the assembly.  Removed - the model will be removed. Remove_Erase - The model will be removed  and erased from memory.,"disable, restore, restore_and_erase",restore
Without category,simprep_ondemand_editing,"Enables on demand retrieval of an edited item and its parent references.  Configuration tools (Family Tables, Relations, etc) will retrieve  required models accordingly.  Automatic - Retrieves the minimum rep required to perform the operation.","automatic, master, disable, master_with_ancestors",automatic
Without category,simprep_ondemand_regeneration,Enables on demand retrieval of required  models during regeneration.  Can affect regeneration performance.,"automatic, master, disable",automatic
Assembly,simprep_ondemand_selection,Determines the rep to be retrieved when selecting a reference. Automatic  Retrieves the minimum rep required to perform the operation.,"automatic, master, disable",automatic
Assembly,simprep_ondemand_settings,Determines on-demand retrieval behavior in simplified representation views. Prompt - Ask for confirmation before retrieving on-demand. Never_prompt - Retrieve models on-demand automatically with no confirmation. Disabled - on demand is disabled.,"prompt, disable, never_prompt",never_prompt
Creo Simulate,simulation_fem_mode,Yes - Activates FEM mode of Creo Simulate. No (default) - Activates Native mode of Creo Simulate.,"yes, no",no
Creo Simulate,simulation_mode,Sets Creo Simulate mode - Structure (default) or Thermal. This option is used only if the information about Creo Simulate mode is not yet stored with the model.,"structure, thermal",structure
Creo Simulate,simulation_process_auto_advance,If set to yes the Process Guide will advance to the next set automatically upon completion of the current step.,"yes, no",no
Creo Simulate,simulation_process_prompt,"If set to yes, the Process Guide will be launched automatically upon entry into Creo Simulate, if template files are present.","yes, no",no
Creo Simulate,simulation_process_template_dir,Specifies the default location of the Process Guide template files.,,
Without category,single_side_surf_color,Allow application of color to a single side of a surface.,"yes, no",no
Assembly,skeleton_model_default_color,"Specifies the color Creo Parametric uses to display new skeleton models. The three decimal values ranging from 0 through 100 specify (in order) the percentages of red, green, and blue in the resulting color. For example, 0 0 49 specifies medium blue.",,0.000000 75.000000 100.000000
Sketcher,sket_import_geometry_line_style,"Determine if the original line style and color should be preserved on Copy/Paste, Sketcher Palette and Import from file. Yes - Preserve original line style and color.","yes, no",no
Sketcher,sketcher_alignment_constr,Yes - Alignment constraints will be used by Intent Manager; No - Alignment constraints will not be used.,"yes, no",no
Sketcher,sketcher_animated_modify,No - The section is not animated as modifications are regenerated.,"yes, no",yes
Sketcher,sketcher_auto_create_references,This option controls the automatic reference creation from selected background geometry.,"yes, no",no
Sketcher,sketcher_auto_create_refs,The option values are: 2: the system automatically creates 2 dimensioning references; 1: the system automatically adds the orientation reference as a dimensioning reference; 0: the system does not automatically create dimensioning references.,"1, 2",2
Sketcher,sketcher_blended_background,This option controls whether the blended background should be used in 3D Sketcher.  The option has no effect if blended background is turned off generally.,"yes, no",no
Sketcher,sketcher_collinear_constr,Yes - collinear constraints will be used by Intent Manager; No - collinear constraints will not be used by Intent Manager.,"yes, no",yes
Without category,sketcher_curve_color_synch,Synchronize color assignment between sketched curves and their sketches.,"yes, no",yes
Sketcher,sketcher_default_font_kerning,Automatically set kerning for text entities in Sketcher. Yes - Kerning will be set for new text entities. No  - Kerning will not be set automatically.,"yes, no",no
Sketcher,sketcher_diagonal_constr,Yes - Diagonal constraints will be used; No - Diagonal constraints will not be used.,"yes, no",no
Sketcher,sketcher_dim_of_revolve_axis,If this option is set all dimensions created by Intent Manager to Axis of Revolution will be diameter dimensions.,"yes, no",yes
Sketcher,sketcher_dimension_autolock,Automatically lock strong sketcher dimensions.,"yes, no",no
Sketcher,sketcher_disp_constraints,"Shows the constraints when sketching in Sketcher Mode; for example, H for horizontal, V for vertical, and so on.","yes, no",yes
Sketcher,sketcher_disp_dimensions,No - Suppresses the display of all dimensions while in sketcher.,"yes, no",yes
Sketcher,sketcher_disp_grid,Specify whether or not to display the sketcher grid.,"yes, no",no
Sketcher,sketcher_disp_vertices,No - Suppresses the display of yellow points on all vertices while in sketcher.,"yes, no",yes
Sketcher,sketcher_disp_weak_dimensions,Yes - weak dimensions will be displayed; No - weak dimensions will not be displayed.,"yes, no",yes
Sketcher,sketcher_equal_length_constr,Yes - equal length constraints will be used by Intent Manager; No - equal length constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_equal_radii_constr,Yes - equal radii constraints will be used by Intent Manager; No - equal radii constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_grid_angle,Enter a grid angle value to override the default grid angle value.,,0
Sketcher,sketcher_grid_line_quantity,Enter number of radial lines for radial grid.,,12
Sketcher,sketcher_grid_radius_spacing,Enter a radial grid spacing value to override the default radial grid spacing value.,,1
Sketcher,sketcher_grid_type,Set grid type to be Cartesian or Polar.,"cartesian, polar",cartesian
Sketcher,sketcher_highlight_open_ends,Yes - Highlights open ends of sketched entities in Sketcher. No - Does not highlight open ends of sketched entities in Sketcher.,"yes, no",yes
Sketcher,sketcher_import_exact_geom,During import in sketcher use exact geometry.,"yes, no",yes
Sketcher,sketcher_known_dim_on_ref_ent,"YES - create known dimensions on known geometry, NO - create reference dimensions on known geometry","yes, no",yes
Sketcher,sketcher_lineup_hor_constr,Yes - line up horizontal constraints will be used by Intent Manager; No - line up horizontal constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_lineup_ver_constr,Yes - line up vertical constraints will be used by Intent Manager; No - line up vertical constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_lock_modified_dims,Yes - modified dimensions will be locked; No - modified dimensions will not be locked.,"yes, no",no
Sketcher,sketcher_midpoint_constr,Yes - midpoint constraints will be used by Intent Manager; No - midpoint constraints will not be used by Intent Manager.,"yes, no",yes
Without category,sketcher_palette_path,Sets the default directory for the user sketcher shape library. Use the full path name to avoid problems.,,
Sketcher,sketcher_parallel_constr,Yes - parallel constraints will be used by Intent Manager; No - parallel constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_perpendicular_constr,Yes - perpendicular constraints will be used by Intent Manager; No - perpendicular constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_point_on_entity_constr,Yes - point on entity constraints will be used by Intent Manager; No - point on entity constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_refit_after_dim_modify,Refits section after dimension modification in 2D section or when creating the first feature.,"yes, no",yes
Without category,sketcher_rel_accuracy,Enter a sketcher relative accuracy.,,1
Sketcher,sketcher_same_point_constr,Yes - same points constraints will be used by Intent Manager; No - same points constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_save_preview_image,This option controls whether section files should be saved with embedded image information which can be used to preview sections in File/Open dialog.,"yes, no",no
Sketcher,sketcher_set_grid_method,"""Dynamic"" - grid spacing is determined by the system based on zoom factor, ""Static"" - grid spacing is fixed and set by the user.","dynamic, static",dynamic
Sketcher,sketcher_set_grid_x_major,Enter the number of grid lines per major line in x axis.,,5
Sketcher,sketcher_set_grid_x_spacing,Enter an x-grid spacing value to override the default x-grid spacing value.,,1
Sketcher,sketcher_set_grid_y_major,Enter the number of grid lines per major line in y axis.,,5
Sketcher,sketcher_set_grid_y_spacing,Enter a y-grid spacing value to override the default y-grid spacing value.,,1
Sketcher,sketcher_shade_closed_loops,"yes-closed loops in sketcher will be displayed as shaded, no-closed loops in sketcher will not be displayed as shaded","yes, no",yes
Sketcher,sketcher_snap_sensitivity,sketcher snap sensitivity,"high, medium, low, very_high, very_low",very_high
Sketcher,sketcher_starts_in_2d,Defines initial model orientation in Sketcher mode. Yes - (2D orientation) Looking directly at section (sketching) plane. No - (Orientation unchanged) Sketch directly on the 3D part.,"yes, no",no
Without category,sketcher_strngthn_to_def_dec_pl,This option enable the user to keep a highly precise value during creation or convertion strong dimension.,"yes, no",yes
Sketcher,sketcher_symmetric_constr,Yes - symmetric constraints will be used by Intent Manager; No - symmetric constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_tangent_constr,Yes - tangent constraints will be used by Intent Manager; No - tangent constraints will not be used by Intent Manager.,"yes, no",yes
Sketcher,sketcher_undo_reorient_view,Controls the ability to Undo view reorientation while in Sketcher. Yes - it is possible to Undo view reorientation in Sketcher.,"yes, no",no
Sketcher,sketcher_undo_stack_limit,Sketcher saves a copy of each function performed. The number of possible saved functions depend on the number specified in the option. The undo menu can be used to remove the stored functions.,,200
Model Display,skip_small_surfaces,Gives the user the option not to display small shaded surfaces. Disabling this option will improve display quality at the expense of speed.  It is most useful for creating screen snap shots.,"yes, no",yes
Without category,smaller_bundle_min_bend_rad,Setup whether to consider the thickness of the bundle when set up the minimum bend radius.,"yes, no",no
Model Display,smooth_lines,Choose whether to smooth lines by default or not.,"yes, no",no
Sheetmetal,smt_add_bends_on_sharp_edges,Determines if bends will be added automatically on edges with sharp geometry in the wall creation tools. Yes - bends will be added automatically. No - sharp geometry of edges will be kept.,"yes, no",yes
Sheetmetal,smt_allow_flip_sketch,Yes - Allows flipping the sketch in Flat and Flange tools. No  - Disables the ability to flip the sketch in Flat and Flange tools.,"yes, no",no
Sheetmetal,smt_bend_notes_dflt_display,Define the default state of bend note display (sheetmetal mode),"yes, no",yes
Sheetmetal,smt_bend_notes_direction_down,Define the down direction symbol for bend notes (sheetmetal mode),,default
Sheetmetal,smt_bend_notes_direction_up,Define the up direction symbol for bend notes (sheetmetal mode),,default
Sheetmetal,smt_bend_notes_order,Define the fields order for bend notes (sheetmetal mode),,&type&direction&angle
Sheetmetal,smt_bend_notes_type_formed,Define the formed symbol for bend notes (sheetmetal mode),,default
Sheetmetal,smt_bend_notes_type_rolled,Define the rolled symbol for bend notes (sheetmetal mode),,default
Sheetmetal,smt_crn_rel_display,Yes - Corner relief notes will be displayed. No - Corner relief notes will not be displayed.,"yes, no",yes
Sheetmetal,smt_drive_bend_by_parameters,Sheetmetal bend radius and bend angle values and bend dimension location will be driven by feature level relations to Sheetmetal parameters.,"yes, no",no
